Date,Daily Mean Temperature,Daily Total Rainfall,Daily Total Sunshine,Daily Mean Windspeed,Daily Mean Windspeed (Beaufort),Daily Maximum Gust,Daily Maximum Relative Humidity,Daily Mean Total Cloud,Daily Mean Visibility,Daily Mean Pressure,Daily Mean Wind Direction,Mean Cardinal Direction,Daily Max Gust Direction,Max Cardinal Direction,Station,Year
28/09/1987,10.6,tr,0.4,2,Light,n/a,78,6,3400,1028,90,E,350,N,Camborne,1987
29/09/1987,11.2,0,8.6,9,Light,25,81,2,1700,1027,90,E,90,E,Camborne,1987
30/09/1987,11.8,0,3.7,10,Light,30,88,6,2400,1020,120,ESE,120,ESE,Camborne,1987
01/10/1987,12.7,0,8.2,9,Light,24,87,4,1700,1019,110,ESE,120,ESE,Camborne,1987
02/10/1987,13.8,12.2,0.3,13,Moderate,32,94,6,400,1015,90,E,90,E,Camborne,1987
03/10/1987,14.5,14,0,14,Moderate,37,99,8,200,1015,80,E,90,E,Camborne,1987
04/10/1987,15,tr,6.5,13,Moderate,28,98,5,1500,1009,140,SE,110,ESE,Camborne,1987
05/10/1987,15.3,6.3,4.8,14,Moderate,35,94,6,2100,1001,140,SE,170,S,Camborne,1987
06/10/1987,12.5,20.5,7.3,13,Moderate,41,93,6,2800,1001,270,W,300,WNW,Camborne,1987
07/10/1987,12.3,12.8,1.4,17,Fresh,44,99,7,1500,991,220,SW,NA,#N/A,Camborne,1987
08/10/1987,10.8,7,5.9,21,Fresh,52,89,6,2000,998,290,WNW,290,WNW,Camborne,1987
09/10/1987,10.7,11.4,0,14,Moderate,34,91,8,1800,998,200,SSW,190,S,Camborne,1987
10/10/1987,9.4,5.2,6.3,13,Moderate,32,76,6,3900,996,330,NNW,310,NW,Camborne,1987
11/10/1987,8.9,2.1,2.9,8,Light,19,91,6,4700,1001,170,S,170,S,Camborne,1987
12/10/1987,11.2,2.2,5.3,9,Light,23,95,4,3600,1004,220,SW,210,SSW,Camborne,1987
13/10/1987,10.4,4.8,7.1,13,Moderate,34,93,4,2600,1001,230,SW,260,W,Camborne,1987
14/10/1987,8.9,14.9,0,13,Moderate,36,95,6,2000,994,150,SSE,110,ESE,Camborne,1987
15/10/1987,8.5,30.2,0,11,Moderate,53,93,7,4000,981,40,NE,NA,#N/A,Camborne,1987
16/10/1987,9.7,0.6,7.4,16,Moderate,59,97,5,3600,989,220,SW,320,NW,Camborne,1987
17/10/1987,10.8,15.7,5.6,18,Fresh,55,95,6,3100,1008,170,S,180,S,Camborne,1987
18/10/1987,12.8,36.4,0,21,Fresh,54,98,8,1200,1003,180,S,180,S,Camborne,1987
19/10/1987,12.9,12.3,0.2,12,Moderate,36,99,8,1200,1005,160,SSE,170,S,Camborne,1987
20/10/1987,11.5,1.3,4.4,4,Light,14,99,5,1900,1005,160,SSE,NA,#N/A,Camborne,1987
21/10/1987,10.3,0.6,5.1,10,Light,29,96,6,3900,1007,290,WNW,290,WNW,Camborne,1987
22/10/1987,9.2,0,7.7,n/a,n/a,n/a,89,3,5100,1017,190,S,220,SW,Camborne,1987
23/10/1987,7.9,0,9.1,4,Light,15,84,2,5700,1021,50,NE,10,N,Camborne,1987
